station,Date,Time,NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,MANGANESE(mg/l),label_3class,Month
station1,2022-06-21,00:20:00,39.2026,8.2358,0.0369,26.6823,5.0622,22.8098,0.49767,0,6
station1,2022-06-09,09:00:00,21.3546,6.9357,0.04144,25.6674,6.0638,29.2653,0.92871,0,6
station1,2022-06-28,13:20:00,6.4908,6.6718,0.03952,28.6368,5.6639,37.0094,0.66451,0,6
station1,2022-06-07,23:20:00,32.0852,5.5421,0.02975,25.8758,5.5805,16.277,0.49539,0,6
station1,2022-06-05,09:40:00,35.7478,8.7308,0.02615,26.6978,6.3227,16.236,0.58028,0,6
station1,2022-06-16,22:20:00,22.2087,7.9239,0.01952,26.8052,5.2224,32.2817,0.34538,0,6
station1,2022-06-19,00:00:00,26.3096,7.0136,0.02712,27.9549,5.8335,30.6492,0.94444,0,6
station1,2022-06-08,14:00:00,39.4904,5.7386,0.02911,28.0491,5.1509,32.7746,0.73111,0,6
station1,2022-06-03,20:20:00,24.6143,5.928,0.03568,27.4189,5.6815,18.4185,0.86449,0,6
station1,2022-06-01,16:00:00,27.9388,5.8143,0.02243,29.3721,5.4064,18.1091,0.42398,0,6
station1,2022-06-28,00:00:00,36.2646,5.9635,0.04125,26.6958,6.3836,24.7584,0.23962,0,6
station1,2022-06-30,10:40:00,31.9335,8.3943,0.03402,30.6308,5.2502,27.101,0.56734,0,6
station1,2022-06-10,00:20:00,9.4394,6.5634,0.02017,29.9452,5.3566,34.4785,0.54563,0,6
station1,2022-06-01,15:00:00,23.7179,7.8114,0.02662,25.1309,6.3879,18.5804,0.69637,0,6
station1,2022-06-20,05:40:00,6.8077,7.2122,0.0227,29.7306,6.2781,38.296,0.56101,0,6
station1,2022-06-10,17:40:00,38.5181,8.9062,0.03629,28.3825,5.8034,28.6707,0.60867,0,6
station1,2022-06-04,13:20:00,36.6158,5.6855,0.01961,30.2498,6.2254,21.5942,0.21515,0,6
station1,2022-06-14,09:20:00,39.1769,7.4756,0.02505,27.4223,5.5457,17.4905,0.92792,0,6
station1,2022-06-16,13:20:00,21.0285,6.6001,0.01612,26.1272,5.9667,21.7504,0.3382,0,6
station1,2022-06-29,04:40:00,19.5683,7.9504,0.04108,26.3946,5.4751,21.4704,0.33078,0,6
station1,2022-06-23,10:20:00,27.0836,7.1549,0.01508,30.5099,5.1161,18.8221,0.9075,0,6
station1,2022-06-18,01:40:00,34.8753,6.3505,0.03196,25.6163,5.0321,26.8633,0.71816,0,6
station1,2022-06-05,18:40:00,2.4333,8.5007,0.03141,29.8985,6.2864,34.9374,0.85497,0,6
station1,2022-06-19,04:20:00,13.4064,5.7237,0.02582,30.6298,5.4286,16.8934,0.37274,0,6
station1,2022-06-08,10:40:00,39.4419,5.6607,0.04314,28.8147,5.1018,29.237,0.73538,0,6
station1,2022-06-16,15:00:00,11.3034,7.9098,0.02398,28.1185,6.1058,21.8894,0.60663,0,6
station1,2022-06-03,18:40:00,29.7626,7.799,0.02629,25.7366,6.0326,32.5313,0.49107,0,6
station1,2022-06-14,04:40:00,32.7374,7.3014,0.02051,26.193,6.3809,37.9692,0.72061,0,6
station1,2022-06-02,04:20:00,24.4655,7.3493,0.01917,26.947,5.7786,33.2711,0.21558,0,6
station1,2022-06-17,14:00:00,6.2117,8.4082,0.01781,29.2389,6.1045,19.1296,0.5268,0,6
station1,2022-06-10,06:20:00,15.8187,5.526,0.02799,26.5688,6.1438,21.7564,0.75851,0,6
station1,2022-06-30,02:20:00,22.1993,6.0086,0.02565,26.265,5.9906,26.3386,0.92104,0,6
station1,2022-06-27,04:00:00,15.7765,5.8333,0.0447,28.3551,6.2333,18.9893,0.74053,0,6
station1,2022-06-04,01:20:00,11.1993,6.4085,0.01798,29.9882,6.0189,34.4977,0.89985,0,6
station1,2022-06-30,05:40:00,12.047,5.8482,0.03001,25.8671,5.9222,26.0596,0.53357,0,6
station1,2022-06-26,06:20:00,24.8492,8.6987,0.0259,29.7668,6.2533,23.2416,0.45477,0,6
station1,2022-06-22,21:40:00,25.5042,6.0938,0.0421,30.7474,5.8096,23.0408,0.7821,0,6
station1,2022-06-07,00:40:00,14.9737,7.5509,0.04224,27.3003,5.2508,17.1192,0.89672,0,6
station1,2022-06-10,01:20:00,13.4641,8.5414,0.03562,29.3194,5.3628,30.1955,0.24476,0,6
station1,2022-06-14,03:00:00,33.9845,7.2648,0.04145,27.5701,5.9376,27.6219,0.52283,0,6
station1,2022-06-04,04:40:00,32.4675,7.9797,0.04254,27.8964,6.2561,22.571,0.84276,0,6
station1,2022-06-12,05:20:00,27.3307,5.6655,0.02575,26.7369,5.0852,35.3473,0.53366,0,6
station1,2022-06-20,19:40:00,36.4203,6.9689,0.02241,25.0792,6.3287,24.3009,0.34955,0,6
station1,2022-06-07,02:20:00,13.3749,7.2958,0.02068,29.534,5.9768,19.7635,0.3966,0,6
station1,2022-06-01,01:00:00,13.6332,8.1351,0.02139,25.2448,5.8163,24.1941,0.38632,0,6
station1,2022-06-15,08:00:00,38.8901,6.8384,0.04279,29.3278,6.3451,16.5955,0.35446,0,6
station1,2022-06-29,16:40:00,13.25,8.2632,0.04285,27.6033,6.0623,30.4409,0.71839,0,6
station1,2022-06-05,16:00:00,4.6655,7.2654,0.01899,29.9975,5.5448,23.8047,0.81132,0,6
station1,2022-06-01,19:40:00,5.0284,8.1385,0.02992,25.0107,5.3304,39.207,0.96013,0,6
station1,2022-06-18,13:00:00,11.6026,6.5811,0.02381,30.7997,5.2004,27.2696,0.83362,0,6
station1,2022-06-18,11:20:00,5.1244,6.8385,0.03382,26.862,5.3565,34.7059,0.28843,0,6
station1,2022-06-21,03:00:00,2.0473,7.3029,0.02106,28.0648,6.4159,36.5389,0.82622,0,6
station1,2022-06-21,23:20:00,9.1279,6.3623,0.0183,30.3983,5.5607,15.3376,0.91644,0,6
station1,2022-06-01,06:00:00,23.4097,8.7159,0.03183,28.5275,5.5905,32.2246,0.23006,0,6
station1,2022-06-14,23:40:00,38.3047,5.705,0.01961,25.836,5.7715,35.1189,0.20598,0,6
station1,2022-06-26,17:00:00,17.0357,6.5591,0.03438,29.4254,5.7343,32.6953,0.21687,0,6
station1,2022-06-09,07:40:00,1.4592,8.9914,0.04222,27.3576,6.3482,18.6926,0.73499,0,6
station1,2022-06-20,23:00:00,28.2356,6.4067,0.02088,28.7675,5.5746,26.2234,0.40285,0,6
station1,2022-06-03,15:00:00,14.0012,6.2346,0.0435,29.5656,5.4439,16.5522,0.97327,0,6
station1,2022-06-03,21:20:00,18.0722,6.2651,0.04193,26.4349,5.5014,24.114,0.20878,0,6
station1,2022-06-18,16:20:00,14.7814,6.872,0.03601,27.3984,6.0714,37.2933,0.63589,0,6
